"task_id","batch_id","dataset_id","geometry_family","n","p","asset_path","source_sha256","repetition","replicate_seed","fold_seed","response_seed","method","chart_dim_rule","search_policy","backend_variant","design_basis","design_drop_tol","ridge_multiplier_grid","ridge_condition_max","support_grid","degree_grid","kernel_grid","lambda_sync_grid","lambda_sync_search","local_candidate_search","local_candidate_search_control","result_path","status_path","log_path","skip_if_complete"
"s3r_0011__LA_D1_RAW_N500__r03__local_auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",3,20363707,20363708,20363709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0011__LA_D1_RAW_N500__r03__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0011__LA_D1_RAW_N500__r03__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0011__LA_D1_RAW_N500__r03__local_auto__full.log",TRUE
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",3,20363707,20363708,20363709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened.log",TRUE
"s3r_0013__LA_D1_HC_Li_N500__r01__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",1,20461607,20461608,20461609,"ps_lps","auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0013__LA_D1_HC_Li_N500__r01__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0013__LA_D1_HC_Li_N500__r01__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0013__LA_D1_HC_Li_N500__r01__auto__full.log",TRUE
"s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",1,20461617,20461618,20461619,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0014__LA_D1_HC_Li_N500__r01__auto__screened.log",TRUE
"s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",1,20461707,20461708,20461709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0015__LA_D1_HC_Li_N500__r01__local_auto__full.log",TRUE
"s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",1,20461707,20461708,20461709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0016__LA_D1_HC_Li_N500__r01__local_auto__screened.log",TRUE
"s3r_0017__LA_D1_HC_Li_N500__r02__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",2,20462607,20462608,20462609,"ps_lps","auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0017__LA_D1_HC_Li_N500__r02__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0017__LA_D1_HC_Li_N500__r02__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0017__LA_D1_HC_Li_N500__r02__auto__full.log",TRUE
"s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",2,20462617,20462618,20462619,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0018__LA_D1_HC_Li_N500__r02__auto__screened.log",TRUE
"s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",2,20462707,20462708,20462709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0019__LA_D1_HC_Li_N500__r02__local_auto__full.log",TRUE
"s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",2,20462707,20462708,20462709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0020__LA_D1_HC_Li_N500__r02__local_auto__screened.log",TRUE
"s3r_0021__LA_D1_HC_Li_N500__r03__auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",3,20463607,20463608,20463609,"ps_lps","auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0021__LA_D1_HC_Li_N500__r03__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0021__LA_D1_HC_Li_N500__r03__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0021__LA_D1_HC_Li_N500__r03__auto__full.log",TRUE
"s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",3,20463617,20463618,20463619,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0022__LA_D1_HC_Li_N500__r03__auto__screened.log",TRUE
"s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",3,20463707,20463708,20463709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0023__LA_D1_HC_Li_N500__r03__local_auto__full.log",TRUE
"s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened","FB02","LA-D1-HC-Li-N500","VALENCIA depth-1 hypercube",500,3,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-HC-Li-N500.rds","44924492f84ce55df4d48b68dd7d533e8926d0e6e72687fd65b54a7602900bab",3,20463707,20463708,20463709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","1e-8","1e-8","Inf","15:35","2","tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/results/s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/status/s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_20260607_001/logs/s3r_0024__LA_D1_HC_Li_N500__r03__local_auto__screened.log",TRUE
